Id,aging
1433B_HUMAN,0
1433E_HUMAN,0
1433F_HUMAN,0
1433G_HUMAN,0
1433S_HUMAN,0
1433T_HUMAN,0
1433Z_HUMAN,1
1A01_HUMAN,0
1A02_HUMAN,0
1A03_HUMAN,0
1A11_HUMAN,0
1A1L1_HUMAN,0
1A1L2_HUMAN,0
1A23_HUMAN,0
1A24_HUMAN,0
1A25_HUMAN,0
1A26_HUMAN,0
1A29_HUMAN,0
1A30_HUMAN,0
1A31_HUMAN,0
1A32_HUMAN,0
1A33_HUMAN,0
1A34_HUMAN,0
1A36_HUMAN,0
1A43_HUMAN,0
1A66_HUMAN,0
1A68_HUMAN,0
1A69_HUMAN,0
1A74_HUMAN,0
1A80_HUMAN,0
1B07_HUMAN,0
1B08_HUMAN,0
1B13_HUMAN,0
1B14_HUMAN,0
1B15_HUMAN,0
1B18_HUMAN,0
1B27_HUMAN,0
1B35_HUMAN,0
1B37_HUMAN,0
1B38_HUMAN,0
1B39_HUMAN,0
1B40_HUMAN,0
1B41_HUMAN,0
1B42_HUMAN,0
1B44_HUMAN,0
1B45_HUMAN,0
1B46_HUMAN,0
1B47_HUMAN,0
1B48_HUMAN,0
1B49_HUMAN,0
1B50_HUMAN,0
1B51_HUMAN,0
1B52_HUMAN,0
1B53_HUMAN,0
1B54_HUMAN,0
1B55_HUMAN,0
1B56_HUMAN,0
1B57_HUMAN,0
1B58_HUMAN,0
1B59_HUMAN,0
1B67_HUMAN,0
1B73_HUMAN,0
1B78_HUMAN,0
1B81_HUMAN,0
1B82_HUMAN,0
1C01_HUMAN,0
1C02_HUMAN,0
1C03_HUMAN,0
1C04_HUMAN,0
1C05_HUMAN,0
1C06_HUMAN,0
1C07_HUMAN,0
1C08_HUMAN,0
1C12_HUMAN,0
1C14_HUMAN,0
1C15_HUMAN,0
1C16_HUMAN,0
1C17_HUMAN,0
1C18_HUMAN,0
2A5A_HUMAN,0
2A5B_HUMAN,0
2A5D_HUMAN,0
2A5E_HUMAN,0
2A5G_HUMAN,0
2AAA_HUMAN,0
2AAB_HUMAN,0
2ABA_HUMAN,0
2ABB_HUMAN,0
2ABD_HUMAN,0
2ABG_HUMAN,0
2B11_HUMAN,0
2B13_HUMAN,0
2B14_HUMAN,0
2B17_HUMAN,0
2B18_HUMAN,0
2B19_HUMAN,0
2B1A_HUMAN,0
2B1B_HUMAN,0
2B1C_HUMAN,0
2B1D_HUMAN,0
2B1E_HUMAN,0
2B1F_HUMAN,0
2B1G_HUMAN,0
3BHS1_HUMAN,0
3BHS2_HUMAN,0
3BHS7_HUMAN,0
3BP1_HUMAN,0
3BP2_HUMAN,0
3BP5L_HUMAN,0
3BP5_HUMAN,0
